Frequenza,Territorio,Indicatore,Sesso,Classe di età,Anno,Osservazione,Stato dell’osservazione,Nota - Territorio,Nota - Indicatore,Nota - Sesso,Nota - Classi di età,Nota - Dataset
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,'10,363',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,'12,405',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,'14,186',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,'15,688',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,'16,626',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,'15,780',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,'16,466',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,'16,461',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,'18,700',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,'21,629',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,'22,939',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,'23,918',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,'21,039',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,'18,795',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,'17,437',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,'14,325',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,'11,604',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,'8,242',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,'3,895',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,'1,124',,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,153,,,,,,
Annuale,Provincia di Foggia,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'301,775',,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,37,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,41,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,45,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,45,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,54,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,53,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,58,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,67,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,59,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,85,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,79,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,78,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,86,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,85,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,76,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,62,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,46,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,40,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,22,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,14,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,1,,,,,,
Annuale,Accadia,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'1,133',,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,8,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,13,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,13,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,13,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,17,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,19,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,30,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,17,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,24,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,33,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,31,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,38,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,30,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,33,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,27,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,25,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,26,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,15,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,11,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,5,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,1,,,,,,
Annuale,Alberona,Popolazione residente al 31 dicembre,Femmine,Totale,2022,429,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,16,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,19,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,12,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,18,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,26,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,40,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,22,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,21,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,29,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,32,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,53,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,49,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,42,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,30,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,37,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,28,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,33,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,27,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,15,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,8,,,,,,
Annuale,Anzano di Puglia,Popolazione residente al 31 dicembre,Femmine,Totale,2022,557,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,217,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,270,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,308,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,319,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,336,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,347,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,367,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,350,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,414,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,425,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,505,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,478,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,414,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,350,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,373,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,326,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,262,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,161,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,77,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,27,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,3,,,,,,
Annuale,Apricena,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'6,329',,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,109,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,112,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,126,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,131,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,142,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,156,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,168,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,159,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,171,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,191,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,210,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,241,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,247,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,193,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,139,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,125,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,95,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,93,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,53,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,7,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,3,,,,,,
Annuale,Ascoli Satriano,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'2,871',,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,44,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,43,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,58,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,53,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,53,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,59,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,63,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,88,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,84,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,91,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,85,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,94,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,104,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,93,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,106,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,66,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,53,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,53,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,31,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,5,,,,,,
Annuale,Biccari,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'1,326',,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,34,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,46,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,66,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,64,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,57,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,68,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,69,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,72,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,71,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,99,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,115,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,119,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,104,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,109,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,116,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,99,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,84,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,63,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,41,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,13,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,2,,,,,,
Annuale,Bovino,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'1,511',,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,113,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,142,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,139,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,157,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,204,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,163,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,168,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,172,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,180,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,205,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,244,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,245,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,232,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,197,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,209,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,200,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,173,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,128,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,72,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,12,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,2,,,,,,
Annuale,Cagnano Varano,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'3,357',,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,35,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,48,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,35,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,63,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,88,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,82,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,69,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,64,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,72,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,84,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,114,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,113,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,93,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,67,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,53,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,53,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,47,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,39,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,21,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,6,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,100 anni e più,2022,2,,,,,,
Annuale,Candela,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'1,248',,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,191,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,206,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,204,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,226,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,232,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,208,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,243,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,241,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,257,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,45-49 anni,2022,221,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,50-54 anni,2022,247,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,55-59 anni,2022,231,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,60-64 anni,2022,222,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,65-69 anni,2022,173,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,70-74 anni,2022,151,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,75-79 anni,2022,107,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,80-84 anni,2022,74,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,85-89 anni,2022,49,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,90-94 anni,2022,28,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,95-99 anni,2022,2,,,,,,
Annuale,Carapelle,Popolazione residente al 31 dicembre,Femmine,Totale,2022,'3,513',,,,,,
Annuale,Carlantino,Popolazione residente al 31 dicembre,Femmine,Fino a 4 anni,2022,5,,,,,,
Annuale,Carlantino,Popolazione residente al 31 dicembre,Femmine,5-9 anni,2022,17,,,,,,
Annuale,Carlantino,Popolazione residente al 31 dicembre,Femmine,10-14 anni,2022,22,,,,,,
Annuale,Carlantino,Popolazione residente al 31 dicembre,Femmine,15-19 anni,2022,13,,,,,,
Annuale,Carlantino,Popolazione residente al 31 dicembre,Femmine,20-24 anni,2022,28,,,,,,
Annuale,Carlantino,Popolazione residente al 31 dicembre,Femmine,25-29 anni,2022,19,,,,,,
Annuale,Carlantino,Popolazione residente al 31 dicembre,Femmine,30-34 anni,2022,22,,,,,,
Annuale,Carlantino,Popolazione residente al 31 dicembre,Femmine,35-39 anni,2022,14,,,,,,
Annuale,Carlantino,Popolazione residente al 31 dicembre,Femmine,40-44 anni,2022,18,,,,,,
